city,year,weekofyear,total_cases
sj,2008,18,30
sj,2008,19,28
sj,2008,20,35
sj,2008,21,28
sj,2008,22,31
sj,2008,23,32
sj,2008,24,35
sj,2008,25,41
sj,2008,26,44
sj,2008,27,42
sj,2008,28,37
sj,2008,29,39
sj,2008,30,46
sj,2008,31,42
sj,2008,32,54
sj,2008,33,53
sj,2008,34,54
sj,2008,35,60
sj,2008,36,71
sj,2008,37,66
sj,2008,38,54
sj,2008,39,49
sj,2008,40,59
sj,2008,41,42
sj,2008,42,44
sj,2008,43,39
sj,2008,44,35
sj,2008,45,43
sj,2008,46,39
sj,2008,47,37
sj,2008,48,30
sj,2008,49,22
sj,2008,50,23
sj,2008,51,27
sj,2008,52,24
sj,2009,1,24
sj,2009,2,24
sj,2009,3,25
sj,2009,4,26
sj,2009,5,29
sj,2009,6,24
sj,2009,7,22
sj,2009,8,21
sj,2009,9,22
sj,2009,10,23
sj,2009,11,23
sj,2009,12,20
sj,2009,13,22
sj,2009,14,21
sj,2009,15,22
sj,2009,16,23
sj,2009,17,25
sj,2009,18,26
sj,2009,19,24
sj,2009,20,29
sj,2009,21,29
sj,2009,22,44
sj,2009,23,37
sj,2009,24,36
sj,2009,25,40
sj,2009,26,39
sj,2009,27,43
sj,2009,28,47
sj,2009,29,48
sj,2009,30,52
sj,2009,31,53
sj,2009,32,46
sj,2009,33,47
sj,2009,34,49
sj,2009,35,54
sj,2009,36,51
sj,2009,37,55
sj,2009,38,49
sj,2009,39,47
sj,2009,40,55
sj,2009,41,55
sj,2009,42,59
sj,2009,43,55
sj,2009,44,43
sj,2009,45,37
sj,2009,46,42
sj,2009,47,45
sj,2009,48,47
sj,2009,49,34
sj,2009,50,34
sj,2009,51,33
sj,2009,52,31
sj,2010,53,31
sj,2010,1,31
sj,2010,2,29
sj,2010,3,29
sj,2010,4,29
sj,2010,5,24
sj,2010,6,25
sj,2010,7,29
sj,2010,8,29
sj,2010,9,41
sj,2010,10,34
sj,2010,11,32
sj,2010,12,40
sj,2010,13,32
sj,2010,14,29
sj,2010,15,26
sj,2010,16,33
sj,2010,17,50
sj,2010,18,47
sj,2010,19,36
sj,2010,20,42
sj,2010,21,47
sj,2010,22,68
sj,2010,23,61
sj,2010,24,52
sj,2010,25,54
sj,2010,26,58
sj,2010,27,63
sj,2010,28,70
sj,2010,29,60
sj,2010,30,59
sj,2010,31,58
sj,2010,32,66
sj,2010,33,59
sj,2010,34,65
sj,2010,35,67
sj,2010,36,67
sj,2010,37,64
sj,2010,38,57
sj,2010,39,53
sj,2010,40,58
sj,2010,41,65
sj,2010,42,49
sj,2010,43,39
sj,2010,44,44
sj,2010,45,48
sj,2010,46,33
sj,2010,47,25
sj,2010,48,25
sj,2010,49,24
sj,2010,50,30
sj,2010,51,26
sj,2011,52,20
sj,2011,1,21
sj,2011,2,27
sj,2011,3,25
sj,2011,4,25
sj,2011,5,22
sj,2011,6,23
sj,2011,7,23
sj,2011,8,22
sj,2011,9,19
sj,2011,10,21
sj,2011,11,20
sj,2011,12,20
sj,2011,13,26
sj,2011,14,29
sj,2011,15,22
sj,2011,16,23
sj,2011,17,23
sj,2011,18,28
sj,2011,19,22
sj,2011,20,34
sj,2011,21,42
sj,2011,22,45
sj,2011,23,47
sj,2011,24,66
sj,2011,25,60
sj,2011,26,54
sj,2011,27,50
sj,2011,28,51
sj,2011,29,45
sj,2011,30,54
sj,2011,31,48
sj,2011,32,63
sj,2011,33,55
sj,2011,34,59
sj,2011,35,56
sj,2011,36,47
sj,2011,37,54
sj,2011,38,47
sj,2011,39,51
sj,2011,40,56
sj,2011,41,44
